Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Daily_Return_%,Price_Range
2025-06-13,313.97,332.99,313.3,325.31,128964300,0.0,0.0,TSLA,3.61,19.69
2025-06-16,331.29,332.05,326.41,329.13,83925900,0.0,0.0,TSLA,-0.65,5.64
2025-06-17,326.09,327.26,314.74,316.35,88282700,0.0,0.0,TSLA,-2.99,12.52
2025-06-18,317.31,329.32,315.45,322.05,95137700,0.0,0.0,TSLA,1.49,13.87
2025-06-20,327.95,332.36,317.78,322.16,108688000,0.0,0.0,TSLA,-1.77,14.58
2025-06-23,327.54,357.54,327.48,348.68,190716800,0.0,0.0,TSLA,6.45,30.06
2025-06-24,356.17,356.26,340.44,340.47,114736200,0.0,0.0,TSLA,-4.41,15.82
2025-06-25,342.7,343.0,320.4,327.55,119845100,0.0,0.0,TSLA,-4.42,22.6
2025-06-26,324.61,331.05,323.61,325.78,80440900,0.0,0.0,TSLA,0.36,7.44
2025-06-27,324.51,329.34,317.5,323.63,89067000,0.0,0.0,TSLA,-0.27,11.84
2025-06-30,319.9,325.58,316.6,317.66,76695100,0.0,0.0,TSLA,-0.7,8.98
2025-07-01,298.46,305.89,293.21,300.71,145085700,0.0,0.0,TSLA,0.75,12.68
2025-07-02,312.63,316.83,303.82,315.65,119483700,0.0,0.0,TSLA,0.97,13.01
2025-07-03,317.99,318.45,312.76,315.35,58042300,0.0,0.0,TSLA,-0.83,5.69
2025-07-07,291.37,296.15,288.77,293.94,131177900,0.0,0.0,TSLA,0.88,7.38
2025-07-08,297.0,304.05,294.35,297.81,103246700,0.0,0.0,TSLA,0.27,9.7
2025-07-09,297.55,300.15,293.55,295.88,75586800,0.0,0.0,TSLA,-0.56,6.6
2025-07-10,300.05,310.48,300.0,309.87,104365300,0.0,0.0,TSLA,3.27,10.48
2025-07-11,307.89,314.09,305.65,313.51,79236400,0.0,0.0,TSLA,1.83,8.44
2025-07-14,317.73,322.6,312.67,316.9,78043400,0.0,0.0,TSLA,-0.26,9.93
2025-07-15,319.68,321.2,310.5,310.78,77556300,0.0,0.0,TSLA,-2.78,10.7
2025-07-16,312.8,323.5,312.62,321.67,97284800,0.0,0.0,TSLA,2.84,10.88
2025-07-17,323.15,324.34,317.06,319.41,73922900,0.0,0.0,TSLA,-1.16,7.28
2025-07-18,321.66,330.9,321.42,329.65,94255000,0.0,0.0,TSLA,2.48,9.48
2025-07-21,334.4,338.0,326.88,328.49,75768800,0.0,0.0,TSLA,-1.77,11.12
2025-07-22,329.74,335.41,321.55,332.11,77370400,0.0,0.0,TSLA,0.72,13.86
2025-07-23,330.9,336.2,328.67,332.56,92553800,0.0,0.0,TSLA,0.5,7.53
2025-07-24,310.0,310.15,300.41,305.3,156966000,0.0,0.0,TSLA,-1.52,9.74
2025-07-25,308.74,323.63,308.01,316.06,148227000,0.0,0.0,TSLA,2.37,15.62
2025-07-28,318.45,330.49,315.69,325.59,112673800,0.0,0.0,TSLA,2.24,14.8
2025-07-29,325.55,326.25,318.25,321.2,87358900,0.0,0.0,TSLA,-1.34,8.0
2025-07-30,322.18,324.45,311.62,319.04,83931900,0.0,0.0,TSLA,-0.97,12.83
2025-07-31,319.61,321.37,306.1,308.27,85270900,0.0,0.0,TSLA,-3.55,15.27
